Type,Cluster,Data,Attitude,AttitudeU,SubjectiveNorm,SubjectiveNormU,PBC,Threshold
NA,1,Mean,-0.06,0.92,-0.4,1.01,0.01,0.61
NA,1,sd,0.1,0.13,0.09,0.18,0.12,0.61
NA,2,Mean,0.47,0.79,0.44,0.98,0.64,0.61
NA,2,sd,0.05,0.05,0.1,0.12,0.07,0.61
NA,3,Mean,0.59,0.46,0.3,0.35,0.58,0.61
NA,3,sd,0.1,0.12,0.06,0.05,0.15,0.61
NA,4,Mean,0.23,0.47,-0.3,0.76,0.5,0.61
NA,4,sd,0.05,0.07,0.09,0.13,0.11,0.61
NA,5,Mean,0.53,0.67,0.06,0.67,-0.08,0.61
NA,5,sd,0.07,0.13,0.08,0.12,0.07,0.61
A,1,Mean,0.53,0.71,0.21,0.87,0.87,0.61
A,1,sd,0.1,0.13,0.09,0.18,0.12,0.61
A,2,Mean,0.65,0.45,0.44,0.49,0.87,0.61
A,2,sd,0.05,0.05,0.1,0.12,0.07,0.61
A,3,Mean,0.56,0.84,0.55,0.97,0.87,0.61
A,3,sd,0.1,0.12,0.06,0.05,0.15,0.61
A,4,Mean,0.3,0.32,0.42,1.04,0.87,0.61
A,4,sd,0.05,0.07,0.09,0.13,0.11,0.61
A,5,Mean,0.93,0.32,1,0.32,0.87,0.61
A,5,sd,0.07,0.13,0.08,0.12,0.07,0.61
A,6,Mean,0.25,0.81,-0.61,0.82,0.87,0.61
A,6,sd,0.09,0.04,0.12,0.04,0.07,0.61
