Type,Cluster,Data,Attitude,AttitudeU,SubjectiveNorm,SubjectiveNormU,PBC,Threshold
NA,1,Mean,0.63,0.53,0.37,0.5,0.5,0.6
NA,1,sd,0.22,0.22,0.35,0.28,0.32,0.6
NA,2,Mean,0.37,0.53,0.61,1.11,0.79,0.6
NA,2,sd,0.2,0.09,0.1,0.28,0.09,0.6
NA,3,Mean,0.46,0.83,-0.06,0.77,0.09,0.6
NA,3,sd,0.18,0.27,0.24,0.39,0.3,0.6
NA,4,Mean,0.08,1.11,0.1,1.12,-0.04,0.6
NA,4,sd,0.1,0.14,0.23,0.38,0.1,0.6
NA,5,Mean,0.23,0.58,0.01,0.5,0.14,0.6
NA,5,sd,0.23,0.19,0.17,0.32,0.15,0.6
A,1,Mean,0.75,0.45,0.66,0.4,0.72,0.6
A,1,sd,0.18,0.16,0.25,0.16,0,0.6
A,2,Mean,0.44,0.75,0.25,0.7,0.72,0.6
A,2,sd,0.13,0.15,0.2,0.28,0,0.6
A,3,Mean,0.73,0.73,0.44,0.94,0.72,0.6
A,3,sd,0.16,0.09,0.34,0.11,0,0.6
A,4,Mean,0.69,1.11,0.44,0.54,0.72,0.6
A,4,sd,0,0,0,0,0,0.6
A,5,Mean,0.29,0.32,0.11,0.92,0.72,0.6
A,5,sd,0,0,0,0,0,0.6
A,6,Mean,0.4,0.6,0.69,1.24,0.72,0.6
A,6,sd,0,0,0,0,0,0.6
