"Year","Cereal","Meat","Recreation","Timber"
2010,4456.5556205,2161.8576766,37.9557417,26425.31834
2011,4239.35382795,2155.97606763,36.34531204,26977.01966
2012,4022.1520354,2150.09445866,34.73488238,27528.72098
2013,3804.95024285,2144.21284969,33.12445272,28080.4223
2014,3587.7484503,2138.33124072,31.51402306,28632.12362
2015,3370.54665775,2132.44963175,29.9035934,29183.82494
2016,3153.3448652,2126.56802278,28.29316374,29735.52626
2017,2936.14307265,2120.68641381,26.68273408,30287.22758
2018,2718.9412801,2114.80480484,25.07230442,30838.9289
2019,2501.73948755,2108.92319587,23.46187476,31390.63022
2020,2284.537695,2103.0415869,21.8514451,31942.33154
2021,2259.88772526,2056.02791364,22.043875916,31778.561191
2022,2235.23775552,2009.01424038,22.236306732,31614.790842
2023,2210.58778578,1962.00056712,22.428737548,31451.020493
2024,2185.93781604,1914.98689386,22.621168364,31287.250144
2025,2161.2878463,1867.9732206,22.81359918,31123.479795
2026,2136.63787656,1820.95954734,23.006029996,30959.709446
2027,2111.98790682,1773.94587408,23.198460812,30795.939097
2028,2087.33793708,1726.93220082,23.390891628,30632.168748
2029,2062.68796734,1679.91852756,23.583322444,30468.398399
2030,2038.0379976,1632.9048543,23.77575326,30304.62805
2031,2041.96318914,1610.33183326,23.727745118,30187.401027
2032,2045.88838068,1587.75881222,23.679736976,30070.174004
2033,2049.81357222,1565.18579118,23.631728834,29952.946981
2034,2053.73876376,1542.61277014,23.583720692,29835.719958
2035,2057.6639553,1520.0397491,23.53571255,29718.492935
2036,2061.58914684,1497.46672806,23.487704408,29601.265912
2037,2065.51433838,1474.89370702,23.439696266,29484.038889
2038,2069.43952992,1452.32068598,23.391688124,29366.811866
2039,2073.36472146,1429.74766494,23.343679982,29249.584843
2040,2077.289913,1407.1746439,23.29567184,29132.35782
