"Year","Cereal","OF_Cereal","Meat","OF_Meat","Timber","Recreation"
2000,552636.92,5507.41,57764.58,421.76,7225000,37.9557417
2001,546425.74,5834.26,56678.49,598.85,8604666.67,36.34531204
2002,586445.61,6814.06,58785.02,887.65,9870000,34.73488238
2003,521765.99,7853.34,63372.61,1049.72,10400000,33.12445272
2004,535064.94,11110.4,67771.16,1302.18,9266666.67,31.51402306
2005,609096.74,15552.26,67281.61,1372.72,7600000,29.9035934
2006,648248.71,14255.63,67641.64,1596.36,5900000,28.29316374
2007,730291.73,22654.94,67140.8,1814.2,5133333.33,26.68273408
2008,763183.85,24471.82,67205.93,1913.74,4920000,25.07230442
2009,845412.07,26968.26,68918.18,2339.15,4920000,23.46187476
2010,782944.09,22435.24,70427.4,2493.94,5820000,21.8514451
2011,746460.37,27893.96,74348.98,2916.02,6570000,22.043875916
2012,775933.4,37665.6,75165.13,2979.2,7200000,22.236306732
2013,872866.09,39742.25,76366.71,3252.96,7540000,22.428737548
