"Year","Cereal","Meat","Recreation","Timber"
2010,5065.72000034,1452.64760807,72.26829341,59006.6587
2011,4827.01351253,1437.927592774,72.08147689,58542.134149
2012,4588.30702472,1423.207577478,71.89466037,58077.609598
2013,4349.60053691,1408.487562182,71.70784385,57613.085047
2014,4110.8940491,1393.767546886,71.52102733,57148.560496
2015,3872.18756129,1379.04753159,71.33421081,56684.035945
2016,3633.48107348,1364.327516294,71.14739429,56219.511394
2017,3394.77458567,1349.607500998,70.96057777,55754.986843
2018,3156.06809786,1334.887485702,70.77376125,55290.462292
2019,2917.36161005,1320.167470406,70.58694473,54825.937741
2020,2678.65512224,1305.44745511,70.40012821,54361.41319
2021,2651.253647167,1267.379157927,71.024512193,54802.747541
2022,2623.852172094,1229.310860744,71.648896176,55244.081892
2023,2596.450697021,1191.242563561,72.273280159,55685.416243
2024,2569.049221948,1153.174266378,72.897664142,56126.750594
2025,2541.647746875,1115.105969195,73.522048125,56568.084945
2026,2514.246271802,1077.037672012,74.146432108,57009.419296
2027,2486.844796729,1038.969374829,74.770816091,57450.753647
2028,2459.443321656,1000.901077646,75.395200074,57892.087998
2029,2432.041846583,962.832780463,76.019584057,58333.422349
2030,2404.64037151,924.76448328,76.64396804,58774.7567
2031,2408.566314228,910.326269451,76.51567201,58484.253459
2032,2412.492256946,895.888055622,76.38737598,58193.750218
2033,2416.418199664,881.449841793,76.25907995,57903.246977
2034,2420.344142382,867.011627964,76.13078392,57612.743736
2035,2424.2700851,852.573414135,76.00248789,57322.240495
2036,2428.196027818,838.135200306,75.87419186,57031.737254
2037,2432.121970536,823.696986477,75.74589583,56741.234013
2038,2436.047913254,809.258772648,75.6175998,56450.730772
2039,2439.973855972,794.820558819,75.48930377,56160.227531
2040,2443.89979869,780.38234499,75.36100774,55869.72429
